kill11,death11,damage_done11,damage_taken11,shielding11,kill12,death12,damage_done12,damage_taken12,shielding12,kill13,death13,damage_done13,damage_taken13,shielding13,kill14,death14,damage_done14,damage_taken14,shielding14,kill15,death15,damage_done15,damage_taken15,shielding15,team1,kill21,death21,damage_done21,damage_taken21,shielding21,kill22,death22,damage_done22,damage_taken22,shielding22,kill23,death23,damage_done23,damage_taken23,shielding23,kill24,death24,damage_done24,damage_taken24,shielding24,kill25,death25,damage_done25,damage_taken25,shielding25,team2,winning_team
3 , 16 ,20573,34743,0,16 , 14 ,68222,37400,0,13 , 9 ,54475,39420,0,6 , 10 ,31815,29144,11902,5 , 13 ,56066,52423,0,687022199,17 , 13 ,34122,40469,0,4 , 12 ,15830,37224,7117,15 , 6 ,49439,83038,63402,10 , 6 ,33568,37102,0,16 , 7 ,60171,33318,0,320258811,1
11 , 13 ,92239,68738,0,20 , 10 ,58092,43525,0,7 , 8 ,54693,31400,0,17 , 9 ,82382,43112,0,24 , 10 ,110808,45168,0,3194374739,5 , 17 ,42371,154798,79990,7 , 18 ,25533,65570,0,9 , 8 ,33946,53045,0,24 , 20 ,77659,64291,0,5 , 16 ,52434,60510,0,203520985,1
7 , 10 ,32645,41915,0,3 , 10 ,25307,30304,0,4 , 7 ,36186,87472,24593,4 , 4 ,43368,25622,5462,4 , 10 ,23786,34410,0,92486734,9 , 4 ,51064,28482,0,2 , 3 ,33004,19761,600,17 , 3 ,55515,15045,0,6 , 3 ,31502,52307,0,7 , 9 ,48638,45697,0,8025912679,1
6 , 11 ,32961,39929,0,4 , 11 ,36622,76158,53324,8 , 8 ,60464,49540,0,2 , 8 ,17901,31057,0,6 , 8 ,56116,38371,14319,68635257,6 , 7 ,61798,23687,0,6 , 6 ,32956,27214,0,23 , 4 ,74856,36881,0,3 , 5 ,28717,26041,7902,8 , 5 ,36728,90241,35945,124377658,1
6 , 10 ,20356,22662,0,6 , 3 ,44769,14421,8400,4 , 5 ,11642,14139,0,6 , 7 ,32340,27610,0,17 , 11 ,62192,31357,0,9130361923,1 , 10 ,9912,27349,600,7 , 8 ,23303,57440,35307,3 , 9 ,18936,29899,0,12 , 7 ,35822,34905,0,12 , 6 ,22216,21706,0,557089945,0
11 , 10 ,49297,55197,1360,8 , 8 ,69963,30131,0,3 , 10 ,37468,35138,0,10 , 16 ,39734,35875,0,3 , 8 ,45969,91080,57467,254760034,4 , 6 ,32668,43181,0,7 , 9 ,42735,44806,0,15 , 8 ,60489,34112,0,10 , 4 ,37569,83210,0,15 , 6 ,73960,37122,0,406596713,1
3 , 6 ,30896,30609,0,3 , 8 ,42408,38978,0,6 , 7 ,95707,74750,51921,21 , 10 ,107181,41232,0,17 , 9 ,94170,55955,0,125361861,11 , 10 ,67006,116165,43789,6 , 12 ,36996,45707,0,2 , 13 ,34920,59130,0,5 , 7 ,26269,38738,0,16 , 8 ,76333,110622,49512,25635214,0
8 , 10 ,42129,46553,0,5 , 11 ,33924,40775,0,24 , 7 ,79955,36812,0,16 , 10 ,81770,50714,0,0 , 10 ,30961,44129,0,4220515987,22 , 10 ,70735,48496,0,8 , 9 ,34385,44813,0,7 , 14 ,44346,46569,0,7 , 13 ,38954,49372,0,4 , 8 ,30563,79489,34556,1817724667,1
10 , 4 ,38691,24503,0,16 , 12 ,60657,45304,0,22 , 9 ,114176,43020,0,28 , 10 ,86757,38169,0,11 , 14 ,64321,49420,0,4146985631,17 , 23 ,65035,83243,0,4 , 15 ,23675,105477,0,4 , 19 ,28619,62732,16435,9 , 14 ,49188,52456,0,15 , 16 ,33899,60694,0,10087501861,0
6 , 2 ,18266,8688,0,1 , 4 ,25173,15628,0,9 , 1 ,30092,27653,0,10 , 2 ,43526,14007,0,7 , 3 ,33143,17472,0,8018551903,0 , 5 ,7919,43225,32841,0 , 8 ,1754,22538,0,6 , 6 ,28722,27459,0,4 , 7 ,13988,25979,0,2 , 7 ,31065,30999,0,294876743,0
11 , 7 ,56015,35073,0,15 , 7 ,50435,28567,0,4 , 4 ,62257,22935,900,7 , 5 ,37477,76964,79109,13 , 6 ,57612,32953,0,173688505,4 , 8 ,28830,36144,0,6 , 14 ,27755,39479,0,1 , 6 ,48390,76373,55903,7 , 9 ,42826,40875,0,11 , 13 ,48691,70925,0,851631393,0
11 , 8 ,40507,30352,0,18 , 7 ,40639,27229,0,9 , 7 ,28142,33266,0,1 , 6 ,14411,78592,0,19 , 6 ,56860,35642,0,35347147721,4 , 11 ,43011,44052,0,7 , 13 ,30483,33264,0,14 , 10 ,50415,32759,0,2 , 14 ,37806,36051,0,7 , 10 ,43366,34433,4048,1893751777,0
4 , 4 ,36705,45519,10747,7 , 6 ,51572,26921,3405,6 , 3 ,49107,35404,31392,11 , 6 ,52489,30252,0,4 , 3 ,29610,23272,0,21465254,1 , 4 ,19316,27799,0,15 , 3 ,61197,28311,0,0 , 7 ,23105,67220,21118,6 , 10 ,26793,39828,0,0 , 8 ,30957,56325,0,255982903,0
4 , 7 ,25906,23409,0,1 , 8 ,6901,18269,0,5 , 9 ,36435,34494,3780,3 , 8 ,20498,21961,0,1 , 6 ,16713,19535,0,2761629149,9 , 3 ,36806,11456,0,7 , 5 ,26336,16473,4535,6 , 0 ,17749,47764,0,3 , 2 ,10720,11883,0,13 , 3 ,26057,18877,0,1182213611,1
1 , 9 ,15764,92633,79803,37 , 13 ,102794,82205,0,4 , 9 ,34116,73475,0,17 , 9 ,65052,54724,0,9 , 8 ,50080,65396,0,310163223,9 , 12 ,51130,46972,0,4 , 11 ,65745,72197,102241,11 , 16 ,99570,47733,0,20 , 12 ,99899,45954,0,4 , 18 ,52089,54950,0,34812597,1
2 , 6 ,23826,59716,28697,8 , 7 ,33697,33276,0,15 , 9 ,56582,32021,0,2 , 8 ,23627,35220,0,9 , 11 ,36322,35041,0,637825223,8 , 6 ,27350,33074,0,1 , 10 ,46208,42557,0,13 , 7 ,38552,28149,0,7 , 4 ,40586,37103,0,12 , 9 ,42578,33171,11964,2019975773,0
11 , 7 ,44274,20886,0,3 , 11 ,26409,35051,0,11 , 12 ,34223,33683,0,0 , 13 ,12800,36856,0,5 , 5 ,32733,22378,0,5955173129,10 , 7 ,29031,22619,0,9 , 5 ,19509,27315,0,12 , 6 ,35885,21241,0,7 , 7 ,31378,32169,0,10 , 5 ,33051,47095,14790,388797877,1
14 , 15 ,47534,80553,0,13 , 13 ,68287,44075,0,8 , 8 ,45231,105818,68500,9 , 11 ,33868,50507,3030,5 , 11 ,60434,38820,0,1893821281,11 , 10 ,65490,50027,0,6 , 6 ,46492,38398,0,16 , 10 ,76173,47890,0,4 , 13 ,45566,53240,0,21 , 10 ,86052,65799,0,1941074951,1
10 , 11 ,36073,33405,0,7 , 7 ,28084,30217,0,18 , 8 ,43305,29102,2869,12 , 7 ,25749,24137,0,5 , 7 ,29097,93498,14684,865647523,7 , 8 ,46303,25626,0,11 , 9 ,52848,39188,0,10 , 12 ,35639,28849,0,4 , 10 ,37392,31421,0,8 , 13 ,38177,37224,0,30663145049,0
9 , 3 ,42160,63446,0,9 , 5 ,39688,37635,0,5 , 8 ,36709,27858,0,4 , 5 ,35955,21289,0,6 , 4 ,24117,28311,2445,2666569649,2 , 6 ,23748,27505,0,6 , 8 ,28133,27193,0,3 , 7 ,41638,28888,7090,8 , 6 ,32621,74779,12440,8 , 6 ,52399,20264,0,891316933,0
